"","y","K","sens","spec"
"1",1,0.1,0.816326530612245,0.948293691830403
"2",1,0.25,0.775510204081633,0.968976215098242
"3",1,0.5,0.571428571428571,0.984488107549121
"4",1,0.75,0.510204081632653,0.991726990692865
"5",1,0.9,0.408163265306122,0.99482936918304
